GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore
2013R0101,2013,R1,2013-03-22,19.9,16.2,0.4,Football Park,8:10 PM,"42,218",Adelaide,3.4,4.9,8.14,11.16,82,Essendon,1.3,7.5,13.7,18.9,117
2013R0102,2013,R1,2013-03-23,25.4,12.8,0.0,Subiaco,4:40 PM,"39,629",Fremantle,2.0,5.4,11.1,16.12,108,West Coast,3.5,6.7,7.1,11.14,80
2013R0103,2013,R1,2013-03-28,21.4,14.8,17.4,M.C.G.,7:45 PM,"80,971",Carlton,3.3,4.6,9.12,14.17,101,Richmond,2.9,9.14,14.18,14.22,106
2013R0104,2013,R1,2013-03-30,22.1,11.7,0.0,Docklands,1:40 PM,"25,263",Western Bulldogs,6.1,10.5,16.9,19.13,127,Brisbane Lions,0.6,3.1,5.14,7.17,59
2013R0105,2013,R1,2013-03-30,25.8,12.3,0.0,Stadium Australia,4:40 PM,"23,690",Greater Western Sydney,0.4,5.4,7.8,11.1,76,Sydney,4.5,9.7,12.9,16.1,106
2013R0106,2013,R1,2013-03-30,27.8,20.8,0.0,Carrara,6:45 PM,"13,832",Gold Coast,3.6,3.8,6.11,13.12,90,St Kilda,1.7,6.9,7.14,10.17,77
2013R0107,2013,R1,2013-03-31,17.8,12.2,2.0,M.C.G.,1:10 PM,"22,924",Melbourne,3.1,7.2,7.3,8.6,54,Port Adelaide,5.3,11.7,16.13,19.19,133
2013R0108,2013,R1,2013-03-31,17.8,12.2,2.0,Docklands,4:40 PM,"41,040",North Melbourne,5.2,8.4,9.7,13.9,87,Collingwood,3.5,8.6,12.1,15.13,103
2013R0109,2013,R1,2013-04-01,20.2,8.4,0.2,M.C.G.,3:20 PM,"76,300",Hawthorn,4.3,8.9,10.1,12.14,86,Geelong,1.5,5.7,10.12,13.15,93
2013R0201,2013,R2,2013-04-05,24.2,7.8,0.0,M.C.G.,7:50 PM,"56,783",St Kilda,3.1,6.6,11.7,12.1,82,Richmond,4.5,8.1,12.12,14.15,99
2013R0202,2013,R2,2013-04-06,22.0,16.3,2.4,S.C.G.,1:45 PM,"20,372",Sydney,2.1,6.4,11.1,17.12,114,Gold Coast,2.2,3.4,8.6,11.7,73
2013R0203,2013,R2,2013-04-06,27.6,9.5,0.0,Docklands,2:10 PM,"19,210",Western Bulldogs,1.1,5.5,7.7,11.12,78,Fremantle,6.2,9.6,13.9,16.1,106
