,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
atts[Adelaide],0.15,0.029,0.097,0.204,0.0,0.0,4994.0,3324.0,1.0
atts[Brisbane],-0.125,0.033,-0.186,-0.061,0.0,0.0,5493.0,3347.0,1.0
atts[Carlton],0.069,0.031,0.01,0.127,0.0,0.0,5236.0,3405.0,1.0
atts[Collingwood],0.058,0.031,0.001,0.116,0.0,0.0,4781.0,3172.0,1.0
atts[Essendon],0.069,0.03,0.011,0.123,0.0,0.0,6122.0,3455.0,1.0
atts[Fremantle],-0.054,0.032,-0.114,0.005,0.0,0.0,4905.0,3265.0,1.0
atts[Geelong],0.197,0.028,0.147,0.253,0.0,0.0,5658.0,3437.0,1.0
atts[Gold Coast],-0.037,0.03,-0.094,0.016,0.0,0.0,5497.0,3648.0,1.0
atts[GWS],-0.309,0.037,-0.376,-0.236,0.0,0.0,5561.0,3514.0,1.0
atts[Hawthorn],0.287,0.027,0.235,0.336,0.0,0.0,5562.0,3581.0,1.0
atts[Melbourne],-0.331,0.035,-0.394,-0.263,0.0,0.0,5379.0,3415.0,1.0
atts[North Melbourne],0.099,0.03,0.044,0.156,0.0,0.0,5238.0,3542.0,1.0
atts[Port Adelaide],0.023,0.029,-0.032,0.077,0.0,0.0,5148.0,3592.0,1.0
atts[Richmond],0.13,0.029,0.077,0.186,0.0,0.0,5270.0,3389.0,1.0
atts[St Kilda],-0.196,0.034,-0.259,-0.132,0.0,0.0,5353.0,3746.0,1.0
atts[Sydney],0.058,0.029,0.003,0.112,0.0,0.0,6037.0,3728.0,1.0
atts[West Coast],0.076,0.029,0.02,0.129,0.0,0.0,5171.0,3110.0,1.0
atts[Western Bulldogs],-0.164,0.032,-0.226,-0.106,0.0,0.0,5920.0,3291.0,1.0
atts_star[Adelaide],0.151,0.053,0.046,0.244,0.002,0.001,707.0,1163.0,1.0
atts_star[Brisbane],-0.124,0.056,-0.237,-0.024,0.002,0.001,742.0,1118.0,1.0
atts_star[Carlton],0.07,0.054,-0.027,0.177,0.002,0.001,698.0,995.0,1.0
atts_star[Collingwood],0.059,0.055,-0.041,0.164,0.002,0.001,700.0,999.0,1.0
atts_star[Essendon],0.069,0.054,-0.029,0.174,0.002,0.001,743.0,1071.0,1.0
atts_star[Fremantle],-0.054,0.055,-0.159,0.047,0.002,0.001,735.0,1262.0,1.0
atts_star[Geelong],0.198,0.053,0.099,0.299,0.002,0.001,721.0,1071.0,1.0
atts_star[Gold Coast],-0.036,0.054,-0.135,0.074,0.002,0.001,726.0,1052.0,1.0
atts_star[GWS],-0.308,0.058,-0.416,-0.199,0.002,0.001,825.0,1122.0,1.0
atts_star[Hawthorn],0.288,0.052,0.192,0.387,0.002,0.001,684.0,1187.0,1.0
atts_star[Melbourne],-0.33,0.058,-0.434,-0.218,0.002,0.001,813.0,1297.0,1.0
atts_star[North Melbourne],0.1,0.055,0.001,0.206,0.002,0.001,696.0,967.0,1.0
atts_star[Port Adelaide],0.023,0.054,-0.076,0.13,0.002,0.001,714.0,984.0,1.0
atts_star[Richmond],0.131,0.053,0.03,0.228,0.002,0.001,664.0,877.0,1.0
atts_star[St Kilda],-0.195,0.057,-0.297,-0.084,0.002,0.002,724.0,1087.0,1.0
atts_star[Sydney],0.059,0.053,-0.035,0.164,0.002,0.001,720.0,1268.0,1.0
atts_star[West Coast],0.077,0.053,-0.017,0.174,0.002,0.001,748.0,1137.0,1.0
atts_star[Western Bulldogs],-0.163,0.056,-0.268,-0.059,0.002,0.001,758.0,1138.0,1.0
defs[Adelaide],-0.055,0.023,-0.095,-0.011,0.0,0.0,4459.0,2798.0,1.0
defs[Brisbane],0.061,0.021,0.02,0.099,0.0,0.0,4370.0,2732.0,1.0
defs[Carlton],-0.013,0.022,-0.056,0.026,0.0,0.0,4310.0,2894.0,1.0
defs[Collingwood],-0.095,0.022,-0.136,-0.05,0.0,0.0,4374.0,2670.0,1.0
defs[Essendon],-0.009,0.022,-0.051,0.03,0.0,0.0,4288.0,2911.0,1.0
defs[Fremantle],-0.259,0.025,-0.306,-0.212,0.0,0.0,4912.0,3060.0,1.0
defs[Geelong],-0.128,0.022,-0.17,-0.087,0.0,0.0,4797.0,3304.0,1.0
defs[Gold Coast],0.076,0.022,0.037,0.117,0.0,0.0,4807.0,3100.0,1.0
defs[GWS],0.382,0.019,0.346,0.415,0.0,0.0,4494.0,2784.0,1.0
defs[Hawthorn],-0.081,0.023,-0.124,-0.038,0.0,0.0,4505.0,2729.0,1.0
